Arctopsyche sp. AA,AAアミメシマトビケラ
Suncus murinus,ジャコウネズミ
Mimostrangalia dulcis,ジャコウホソハナカミキリ
Tibellus japonicus,シャコグモ
Sasa palmata f.nebulosa,シャコハンチク
Scolytus jacobsoni,ジャコブソンキクイムシ
Trifolium lupinaster,シャジクソウ
Vaccinium bracteatum,シャシャンボ
Colaspoides fulvus,シャシャンポサルハムシ
Agrilus shashamboe,シャシャンボナガタマムシ
Leucanthemum maximum,シャスタデージー
Stauropus fagi persimilis,シャチホコガ
Stauropus fagi fagi,シャチホコガ北海道亜種
Cardamine impatiens,ジャニンジン
Trechiama yokoyamai rectus,ジャノアナナガチビゴミムシ
Yamautidius spinulosus,ジャノアナメクラチビゴミムシ
Ophiopogon japonicus,ジャノヒゲ
Portunus sanguinolentus,ジャノメガザミ
Gazania rigens,ジャノメクンショウギク
Junonia lemonias lemonias,ジャノメタテハモドキ
Minois dryas bipunctata,ジャノメチョウ
Bostrychus sinensis,ジャノメハゼ
Trechiama angustus,ジャノメメクラチビゴミムシ
Cryptochironomus javae,ジャバカマガタユスリカ
Silvanoprus javanicus,ジャバホソヒラタムシ
Helicius yaginumai,ジャバラハエトリ
Adoretus falciungulatus,シャミセンコイチャコガネ
Neanthes virens,ジャムシ
Coptosoma siamicum,シャムマルカメムシ
Salix eriocarpa,ジャヤナギ
Opopaea syarakui,シャラクダニグモ
Polygraphus shariensis,シャリキクイムシ
Rhaphiolepis indica var.umbellata,シャリンバイ
Umborotula bogorensis,ジャワカイメン
Taiwanassiminea bedaliensis,ジャワザンショウ
Chironomus javanus,ジャワユスリカ
Macaria shanghaisaria,シャンハイオエダシャク
Lasioglossum simplicior,シャンハイチビハナバチ
Hierococcyx hyperythrus,ジュウイチ
Begonia grandis,シュウカイドウ
Anisosticta kobensis,ジュウクホシテントウ
Pseudaspius brandtii brandtii,ジュウサンウグイ
Hippodamia tredecimpunctata,ジュウサンホシテントウ
Lebia retrofasciata,ジュウジアトキリゴミムシ
Eustra crucifera,ジュウジエグリゴミムシ
Mecommopsis cruciata,ジュウジカスミカメ
Clytosemia pulchra,ジュウジクロカミキリ
Sinauleutes bigibbosus,ジュウジコブサルゾウムシ
Ceutorhynchus virgatus,ジュウジサルゾウムシ
Archarius pictus,ジュウジチビシギゾウムシ
Paratrichius septemdecimguttatus,ジュウシチホシハナムグリ
Meta melanicruciata,ジュウジドヨウグモ
Euodynerus trilobus,ジュウジドロバチ
Tropidothorax cruciger,ジュウジナガカメムシ
Miolispa cruciata,ジュウジヒメミツギリゾウムシ
Lopheros lineatus,ジュウジベニボタル
Crioceris quatuordecimpunctata,ジュウシホシクビナガハムシ
Cryptocephalus tetradecaspilotus,ジュウシホシツツハムシ
Coccinula quatuordecimpustulata,ジュウシホシテントウ
Lonchura striata var.domestica,ジュウシマツ
Fleutiauxellus cruciatus,ジュウジミズギワコメツキ
Tomoxia biguttata crux,ジュウジモンハナノミ
Elaphe carinata carinata,シュウダ
Paramenesia theaphia,ジュウニキボシカミキリ
Ajuga x mixta,ジュウニキランソウ
Cerapachys hashimotoi,ジュウニクビレハリアリ
Ajuga nipponensis,ジュウニヒトエ
Eumelandrya duodecimmaculata,ジュウニホシナガクチキ
Halticorcus duodecimmaculata,ジュウニホシマルトビハムシ
Henosepilachna boisduvali,ジュウニマダラテントウ
Aster verticillatus,シュウブンソウ
Anemone hupehensis var.japonica,シュウメイギク
Polystichum tripteron,ジュウモンジシダ
Eumecocera minamii,ジュウモンジニセリンゴカミキリ
Nesticus shureiensis,シュウレイホラヒメグモ
Trechiama imadatei iwatai,シュウレイメクラチビゴミムシ
Sospita oblongoguttata,ジュウロクホシテントウ
Stenus syugen,シュゲンオチバメダカハネカクシ
Dugong dugon,ジュゴン
Laemodonta minuta,シュジュコミミガイ
Gymnogobius castaneus,ジュズカケハゼ
Barentsia benedeni,ジュズコケムシ
Carex ischnostachya,ジュズスゲ
Coix lacryma-jobi,ジュズダマ
Passaloecus monilicornis,ジュズダマイスカバチ
Damnacanthus macrophyllus,ジュズネノキ
Protanilla sp.,ジュズフシアリ
Goodyera velutina,シュスラン
Inurois kobayashii,シュゼンジフユシャク
Paraboreochlus stahli,シュタールニセキタケブカユスリカ
Verbena rigida,シュッコンバーベナ
Sarcophaga schuetzei,シュッツェニクバエ
Amphinemura decemseta,ジュッポンオナシカワゲラ
Trechiama shuten,シュテンメクラチビゴミムシ
Parapyxidicerus carinatus,シュモクアリヅカムシ
Uresiphita suffusalis,シュモンノメイガ
Parachironomus acutus,シュリユスリカ
Scopaeus schuelkei,シュルケヒメクビボソハネカクシ
Zhangixalus schlegelii,シュレーゲルアオガエル
Bombus schrencki albidopleuralis,シュレンクマルハナバチ
Trachycarpus fortunei,シュロ
Stenus jurojin,ジュロウジンハヤシメダカハネカクシ
Cyperus alternifolius,シュロガヤツリ
Veratrum maackii var.japonicum,シュロソウ
Derelomus uenoi,シュロゾウムシ
Rhapis humilis,シュロチク
Xanthophthalmum coronarium,シュンギク
Brasenia schreberi,ジュンサイ
Pterostichus pachinus,ジュンサイオオナガゴミムシ
Galerucella nipponensis,ジュンサイハムシ
Agonum sculptipes,ジュンサイヒラタゴミムシ
Pidonia hayakawai,シュンシュウヒメハナカミキリ
Aster savatieri var.pygmaeus,シュンジュギク
Cymbidium goeringii,シュンラン
Basitrodes oscillator,ジョウエツツノアリヅカムシ
Zingiber officinale,ショウガ
Lycocerus suturellus suturellus,ジョウカイボン
Lycocerus suturellus izuensis,ジョウカイボン伊豆亜種
Lycocerus suturellus luteipennis,ジョウカイボン西日本亜種
Trichopsychoda shogakii,ショウガキケブカチョウバエ
Bradysia zingiberis,ショウガクロバネキノコバエ
Lycoris traubii,ショウキズイセン
Tridentiger barbatus,ショウキハゼ
Yoania japonica,ショウキラン
Scolytoplatypus shogun,ショウグンキクイムシ
Stenus shogun,ショウグンスジメダカハネカクシ
Takifugu snyderi,ショウサイフグ
Pemphredon flavistigma,ジョウザンアリマキバチ
Dicosmoecus jozankeanus,ジョウザンエグリトビケラ
Spilomena djozankeiana,ジョウザンエナシエンモン
Ectemnius spinipes tetracanthus,ジョウザンギングチ
Cheilosia josankeiana,ジョウザンケイクロハナアブ
Acronicta jozana,ジョウザンケンモン
Cryphalus piceus,ジョウザンコキクイムシ
Scolitantides orion jezoensis,ジョウザンシジミ
Pseudomalus djozanus djozanus,ジョウザンツヤセイボウ
Temnostoma jozankeanum,ジョウザンナガハナアブ
Macropsis jozankeana,ジョウザンハトムネヨコバイ
Tenthredo jozana,ジョウザンハバチ
Magnimyiolia jozana,ジョウザンハマダラミバエ
Pericallia matronula helena,ジョウザンヒトリ
Paragus jozanus,ジョウザンマメヒラタアブ
Favonius taxila taxila,ジョウザンミドリシジミ
Sphecodes dyozankeanus,ジョウザンヤドリコハナバチ
Eunapius shojiensis,ショウジコカイメン
Bythoxenites frontalis,ジョウシュウカマヒゲアリヅカムシ
Trichotichnus asper,ジョウシュウツヤゴモクムシ
Aconitum tonense,ジョウシュウトリカブト
Eusphalerum yamanami,ジョウシュウハナムグリヨツメハネカクシ
Agathidium carinatum,ジョウシュウマルタマキノコムシ
Dexopollenia flava,ショウジョウクロバエ
Carex blepharicarpa,ショウジョウスゲ
Euphorbia cyathophora,ショウジョウソウ
Euphorbia heterophylla,ショウジョウソウモドキ
Crocothemis servilia mariannae,ショウジョウトンボ
Heloniopsis orientalis var.orientalis,ショウジョウバカマ
Thamiaraea diffinis,ショウジョウハネカクシ
Asiopodabrus syozoi syozoi,ショウゾウクビボソジョウカイ
Asiopodabrus syozoi palustris,ショウゾウクビボソジョウカイ東日本亜種
Riparia riparia,ショウドウツバメ
Trechiama advena,ショウドシマナガチビゴミムシ
Gonocephalum hiranoi,ショウナンスナゴミムシダマシ
Stephanitis matsumurae,ショウネングンバイ
Cercyon jonensis,ジョウネンケシガムシ
Catops jonensis,ジョウネンチビシデムシ
Quedius viduus,ジョウネンツヤムネハネカクシ
Ocypus japonicus,ジョウネンマルズオオハネカクシ
Tenthredo jonoensis,ジョウノハバチ
Arboridia jonella,ジョウノフタテンヒメヨコバイ
Pagaronia shobarana,ショウバラクワキヨコバイ
Phoenicurus auroreus,ジョウビタキ
Acorus calamus,ショウブ
Helotropha leucostigma,ショウブオオヨトウ
Amphipoea ussuriensis,ショウブヨトウ
Turpinia ternata,ショウベンノキ
Sasaella bitchuensis var.bitchuensis,ジョウボウザサ
Eriocampopsis subtruncata,ショウマハバチ
Bryaxis jomon,ジョウモンオノヒゲアリヅカムシ
Lordithon limbifer,ショウモンキノコハネカクシ
Nipponomarolia kidoi,ジョウヤマハネナシナガクチキ
Acrida cinerea,ショウリョウバッタ
Gonista bicolor,ショウリョウバッタモドキ
Creochara brevipennis,ショウリョウヒゲブトハネカクシ
Apenetretus shorengensis,ショウレンゲヌレチゴミムシ
Carex capricornis,ジョウロウスゲ
Tricyrtis macrantha,ジョウロウホトトギス
Clerodendrum trichotomum var.esculentum,ショウロクサギ
Orychophragmus violaceus var.violaceus,ショカツサイ
Trechus hashimotoi,ショカンベツチビゴミムシ
Macrobrachium shokitai,ショキタテナガエビ
Cyperus esculentus,ショクヨウガヤツリ
Physalis grisea,ショクヨウホオズキ
Sarcophaga josephi,ジョセフニクバエ
Phloeosinus shotoensis,ショトウキクイムシ
Catocala jonasii,ジョナスキシタバ
Nephila clavata,ジョロウグモ
Biwamelania shiraishiensis,シライシカワニナ
Rhyacophila shiraishiensis,シライシナガレトビケラ
Chionographis japonica,シライトソウ
Salix shiraii,シライヤナギ
Salangichthys microdon,シラウオ
Trillium x hagae,シラオイエンレイソウ
Stellaria fenzlii,シラオイハコベ
Phaethon lepturus,シラオネッタイチョウ
Phlogophora illustrata,シラオビアカガネヨトウ
Hylesinus cingulatus,シラオビキクイムシ
Cosmia camptostigma,シラオビキリガ
Exocentrus guttulatus,シラオビゴマフケシカミキリ
Nodynus leucofasciatus,シラオビシデムシモドキ
Euchionellus zanzibaricus,シラオビヒメマキムシ
Quercus myrsinifolia,シラカシ
Acanthotomicus spinosus,シラカシノキクイムシ
Scolytus dahuricus,シラカバノキクイムシ
Fenusa pusilla,シラカバノクロボシハムグリハバチ
Vitis shiragae,シラガブドウ
Emberiza leucocephalos,シラガホオジロ
Trechiama albidivalis,シラカミナガチビゴミムシ
Oroblemus yamauchii,シラカミメクラチビゴミムシ
Asiopodabrus shirakawanus,シラカワクビボソジョウカイ
Persicaria maculosa ssp.hirticaulis var.amblyophylla,シラカワタデ
Betula platyphylla,シラカンバ
Neoshirakia japonica,シラキ
Hoplia shirakii,シラキアシナガコガネ
Pyrgocorypha shirakii,シラキカヤキリモドキ
Nomada shirakii,シラキキマダラハナバチ
Crossocerus shirakii,シラキギングチ
Pseudoliotia pulchella,シラギクガイ
Stephanitis shirakii,シラキグンバイ
Oligoneura shirakii,シラキセダカコガシラアブ
Meligethes shirakii,シラキチビケシキスイ
Caliadurgus ussuriensis,シラキトゲアシクモバチ
Micadina conifera,シラキトビナナフシ
Sarcophaga shirakii,シラキニクバエ
Epitranus elongatulus,シラキハネジロアシブトコバチ
Shirakiana infumata,シラキハネナガウンカ
Silvius shirakii,シラキヒメアブ
Metasyrphus shirakii,シラキホシヒラタアブ
Stenolophus shirakii,シラキマメゴモクムシ
Bomolocha zilla,シラクモアツバ
Lepyrus nordenskioldi,シラクモアナアキゾウムシ
Larinus griseopilosus,シラクモゴボウゾウムシ
Elaphria venustula,シラクモヤガ
Holcus lanatus,シラゲガヤ
Gymnetron villosipenne,シラケコバンゾウムシ
Zorochros albipilis,シラケチビミズギワコメツキ
Cotasteromimus squamiger,シラケツチイロゾウムシ
Clytus melaenus,シラケトラカミキリ
Agrilus pilosovittatus,シラケナガタマムシ
Mosla hirta,シラゲヒメジソ
Lasiolabops cosmopolites,シラゲホソチビカスミカメ
Europiella artemisiae,シラゲヨモギカスミカメ
Carex rhizopoda,シラコスゲ
Streptopelia decaocto,シラコバト
Asiopodabrus shirakomanus,シラコマクビボソジョウカイ
Carex alopeculoides var.chlorostacya,シラスゲ
Setodes shirasensis,シラセセトトビケラ
Palaemon orientis,シラタエビ
Trechiama accipitris,シラタカメクラチビゴミムシ
Allotrechiama dentifer,シラタケメクラチビゴミムシ
Psychotria serpens,シラタマカズラ
Silene vulgaris,シラタマソウ
Gaultheria pyroloides,シラタマノキ
Eriocaulon nudicuspe,シラタマホシクサ
Herminia innocens,シラナミアツバ
Adrapsa simplex,シラナミクロアツバ
Glaucorhoe unduliferaria unduliferaria,シラナミナミシャク
Batriscenellus shiranui,シラヌイツヤアリヅカムシ
Epinephelus bontoides,シラヌイハタ
Glaucidium palmatum,シラネアオイ
Saussurea nikoensis,シラネアザミ
Protocypus nemotoi,シラネサビイロモンキハネカクシ
Angelica polymorpha,シラネセンキュウ
Tilingia ajanensis,シラネニンジン
Pidonia obscurior obscurior,シラネヒメハナカミキリ
Dryopteris expansa,シラネワラビ
Thrinax paucipunctatus,シラネワラビハバチ
Lespedeza thunbergii ssp.thunbergii f.alba,シラハギ
Phyllotreta shirahatai,シラハタキスジノミハムシ
Stomis zaonus,シラハタキバナガゴミムシ
